date,region,product,revenue,orders
2026-05-20,East,Enterprise,14487.27,4
2026-05-20,East,Team,5040.61,15
2026-05-20,East,Starter,3003.99,29
2026-05-20,West,Enterprise,12770.04,4
2026-05-20,West,Team,3923.41,14
2026-05-20,West,Starter,1828.96,21
2026-05-20,Central,Enterprise,5232.63,2
2026-05-20,Central,Team,2996.29,12
2026-05-20,Central,Starter,1204.32,17
2026-05-21,East,Enterprise,12456.59,4
2026-05-21,East,Team,4789.46,15
2026-05-21,East,Starter,1769.4,22
2026-05-21,West,Enterprise,8718.93,3
2026-05-21,West,Team,2700.79,11
2026-05-21,West,Starter,1686.76,22
2026-05-21,Central,Enterprise,7542.11,3
2026-05-21,Central,Team,2338.7,10
2026-05-21,Central,Starter,910.73,15
2026-05-22,East,Enterprise,15303.06,4
2026-05-22,East,Team,5734.66,17
2026-05-22,East,Starter,2208.51,26
2026-05-22,West,Enterprise,9338.5,3
2026-05-22,West,Team,3007.69,11
2026-05-22,West,Starter,1475.07,19
2026-05-22,Central,Enterprise,7588.48,3
2026-05-22,Central,Team,2176.65,10
2026-05-22,Central,Starter,1130.73,16
2026-05-23,East,Enterprise,7967.62,3
2026-05-23,East,Team,2174.6,9
2026-05-23,East,Starter,1014.59,16
2026-05-23,West,Enterprise,6970.23,3
2026-05-23,West,Team,1874.86,9
2026-05-23,West,Starter,1013.58,17
2026-05-23,Central,Enterprise,3277.8,2
2026-05-23,Central,Team,1072.78,7
2026-05-23,Central,Starter,541.27,11
2026-05-24,East,Enterprise,7519.64,3
2026-05-24,East,Team,2492.05,11
2026-05-24,East,Starter,1290.8,20
2026-05-24,West,Enterprise,4297.6,2
2026-05-24,West,Team,1724.87,9
2026-05-24,West,Starter,916.35,15
2026-05-24,Central,Enterprise,3418.3,2
2026-05-24,Central,Team,1290.13,8
2026-05-24,Central,Starter,452.87,11
2026-05-25,East,Enterprise,10693.42,3
2026-05-25,East,Team,4562.35,15
2026-05-25,East,Starter,1696.79,20
2026-05-25,West,Enterprise,9120.3,3
2026-05-25,West,Team,4032.74,14
2026-05-25,West,Starter,1341.27,17
2026-05-25,Central,Enterprise,7307.64,3
2026-05-25,Central,Team,1988.94,9
2026-05-25,Central,Starter,835.26,14
2026-05-26,East,Enterprise,16403.05,4
2026-05-26,East,Team,5412.23,17
2026-05-26,East,Starter,2198.69,25
2026-05-26,West,Enterprise,14045.67,4
2026-05-26,West,Team,3584.01,12
2026-05-26,West,Starter,1749.25,23
2026-05-26,Central,Enterprise,7907.78,3
2026-05-26,Central,Team,2572.73,11
2026-05-26,Central,Starter,946.26,15
2026-05-27,East,Enterprise,13173.23,3
2026-05-27,East,Team,6899.64,18
2026-05-27,East,Starter,2304.04,25
2026-05-27,West,Enterprise,15323.53,4
2026-05-27,West,Team,3740.47,12
2026-05-27,West,Starter,1849.91,20
2026-05-27,Central,Enterprise,7812.44,3
2026-05-27,Central,Team,2778.11,11
2026-05-27,Central,Starter,1284.68,17
2026-05-28,East,Enterprise,9870.46,3
2026-05-28,East,Team,4544.66,14
2026-05-28,East,Starter,1763.96,21
2026-05-28,West,Enterprise,9381.02,3
2026-05-28,West,Team,3249.78,12
2026-05-28,West,Starter,1290.98,18
2026-05-28,Central,Enterprise,4943.39,2
2026-05-28,Central,Team,1834.31,9
2026-05-28,Central,Starter,872.37,14
2026-05-29,East,Enterprise,12247.5,3
2026-05-29,East,Team,5216.64,17
2026-05-29,East,Starter,2244.76,23
2026-05-29,West,Enterprise,9126.78,3
2026-05-29,West,Team,4440.53,15
2026-05-29,West,Starter,1908.86,22
2026-05-29,Central,Enterprise,7393.0,3
2026-05-29,Central,Team,2072.61,9
